风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
287.56,0.49,0.05,1.53,40.29,34.07,0.47,40.39,10.68,98.21,0.2861,0
465.51,0.84,1.0,2.02,30.19,7.61,1.65,43.47,1.95,96.62,0.2365,0
160.68,0.72,1.95,2.77,72.57,45.91,0.12,33.07,5.33,89.68,0.4588,0
78.81,0.33,2.04,0.02,42.86,18.98,1.64,58.03,4.14,98.8,0.583,1
455.95,1.7,0.0,0.16,26.26,31.87,0.83,37.63,2.3,89.11,0.2244,0
443.32,0.55,1.95,0.28,24.73,5.39,0.74,37.06,4.3,99.44,0.1124,0
123.65,5.49,0.0,1.38,45.35,23.04,0.45,26.12,0.5,98.75,0.7006,1
499.88,1.34,0.94,1.02,39.6,12.51,0.18,42.15,3.68,99.99,0.058,0
206.06,0.95,0.99,0.29,46.4,2.75,1.31,45.47,5.46,91.06,0.5298,1
190.8,1.25,0.99,2.46,23.58,5.44,0.67,66.24,3.54,88.5,0.6848,0
431.2,1.28,0.99,0.65,43.74,5.52,1.48,44.7,1.64,83.27,0.2903,0
446.1,0.74,2.0,0.77,20.17,8.21,0.76,52.4,2.5,93.96,0.2947,0
354.45,1.83,2.01,0.96,16.1,7.36,1.24,64.29,2.08,90.42,0.5064,1
74.15,1.34,1.05,0.61,16.41,31.38,1.74,26.62,2.09,88.64,0.8072,1
301.65,0.28,0.0,3.11,47.41,40.17,0.54,66.04,2.33,91.44,0.4396,0
362.53,0.53,1.03,0.25,35.42,11.49,0.65,26.14,1.37,90.87,0.157,0
420.89,0.1,0.97,1.81,39.05,11.2,1.23,53.67,3.39,91.28,0.2361,1
190.14,0.47,2.06,0.31,10.11,1.18,1.95,40.61,0.62,99.99,0.54,1
277.35,1.9,1.09,2.84,37.71,0.51,0.83,59.12,2.68,90.43,0.5811,1
432.05,1.02,2.07,0.14,47.14,9.8,1.05,42.4,0.84,95.78,0.0972,0
182.08,1.9,0.0,0.48,35.47,10.43,0.52,48.15,4.97,96.28,0.5142,1
354.7,1.28,0.98,0.34,46.92,48.48,1.28,22.16,4.23,95.02,0.2605,1
239.41,1.06,3.08,2.04,29.11,4.48,0.26,76.74,6.16,99.72,0.562,1
356.77,0.78,0.95,0.19,26.4,11.01,0.51,68.37,13.25,99.99,0.29,0
149.55,3.24,0.0,0.63,54.66,60.94,0.03,53.73,1.38,98.74,0.5426,1
297.05,0.97,0.97,0.12,30.03,56.55,0.48,60.98,3.48,91.85,0.3789,0
431.98,1.58,0.97,1.24,25.39,11.95,0.06,44.75,5.11,97.4,0.2354,1
381.46,1.5,1.03,3.29,33.79,15.86,0.19,48.17,3.7,94.7,0.3555,0
274.83,2.63,0.0,4.5,43.44,4.26,0.23,22.4,2.24,88.34,0.5911,0
220.85,0.62,2.07,2.4,38.75,13.14,0.82,44.11,0.84,99.99,0.4804,1
404.38,0.68,0.0,0.02,20.97,34.14,1.15,49.57,3.36,92.72,0.2403,0
125.99,2.77,0.99,0.02,37.47,47.03,0.92,86.1,4.01,89.35,0.8273,1
313.86,2.06,2.01,0.47,35.37,55.71,0.59,26.13,3.3,99.99,0.2929,0
244.04,4.53,0.95,0.08,25.14,77.82,0.91,35.56,5.8,91.52,0.6317,1
77.86,1.49,0.95,0.92,33.73,28.79,2.0,39.5,5.7,95.46,0.7086,1
180.25,0.75,0.0,0.04,43.62,27.67,0.57,65.44,3.37,92.55,0.5491,1
380.37,1.14,0.06,0.49,28.14,54.91,1.07,31.46,1.43,86.11,0.3324,0
179.89,4.85,1.93,0.54,50.04,52.33,2.54,23.22,8.14,94.44,0.6308,1
225.68,0.38,3.01,1.13,34.16,10.66,1.7,58.93,2.84,91.51,0.5042,1
336.03,1.05,0.05,2.79,34.88,2.2,0.81,45.81,5.13,88.29,0.3874,0
424.02,2.01,0.98,0.68,31.93,67.38,1.97,38.9,3.4,94.43,0.3105,0
193.74,1.23,0.07,1.69,45.22,4.52,0.48,63.14,3.23,99.99,0.5974,1
121.65,1.25,0.0,0.37,40.32,44.63,1.57,31.48,0.67,87.14,0.5989,1
370.25,0.53,1.02,0.95,16.28,16.64,0.89,43.73,2.88,85.95,0.4403,0
442.72,1.84,0.04,0.33,33.26,34.91,0.2,39.87,1.71,95.74,0.1966,0
316.92,1.67,4.01,0.22,25.75,14.7,1.15,42.73,3.69,94.38,0.4159,0
362.62,0.13,0.03,1.78,25.91,126.52,0.16,34.07,5.42,99.99,0.2247,0
127.95,1.48,1.98,4.92,42.15,16.87,2.53,18.7,4.11,99.99,0.882,1
289.28,0.99,1.0,3.96,39.53,86.96,2.31,21.45,1.45,86.84,0.5744,1
441.93,1.43,0.0,0.72,48.07,4.38,1.31,68.59,1.93,99.76,0.2233,0
428.49,0.56,0.0,1.43,32.33,62.96,2.01,29.54,2.25,89.9,0.2748,0
487.42,1.2,1.02,2.77,23.17,10.96,0.34,31.59,1.03,92.7,0.2052,0
402.02,0.71,0.0,1.24,44.07,44.09,1.29,27.61,2.51,96.29,0.1545,0
138.66,2.01,0.0,1.38,51.81,51.22,0.69,40.4,3.12,91.06,0.5172,1
324.78,2.9,0.0,0.82,31.43,8.96,0.16,45.11,2.97,90.79,0.4025,0
265.48,0.1,0.0,2.02,40.84,65.2,0.04,55.02,1.66,92.18,0.4427,0
327.49,0.4,0.99,0.14,13.41,114.95,2.08,78.0,1.72,87.43,0.5377,1
112.97,0.47,1.1,0.43,30.52,44.49,1.88,60.94,1.53,96.88,0.6842,0
235.06,0.49,0.96,4.85,27.12,12.34,2.27,38.68,4.72,94.89,0.6775,1
399.93,0.16,0.0,0.68,51.7,61.86,0.44,33.5,4.58,95.48,0.0684,0
472.88,4.61,0.04,0.54,24.28,0.84,2.17,42.59,3.15,96.78,0.3174,0
97.06,1.8,0.04,0.84,26.24,38.52,0.17,63.81,5.18,96.5,0.7252,1
472.32,1.86,0.02,0.49,42.19,7.52,1.85,57.5,2.62,92.05,0.266,0
408.82,2.3,0.98,0.81,45.7,22.1,0.34,82.68,2.93,89.92,0.3673,0
198.86,5.44,0.97,0.87,25.26,48.87,0.62,41.67,1.73,96.12,0.7722,0
190.3,0.32,0.94,1.21,26.22,47.93,1.69,36.75,4.86,92.64,0.6868,1
180.57,2.91,1.01,0.42,29.89,33.62,0.15,35.7,3.9,98.1,0.478,1
128.25,2.68,1.03,0.31,27.25,11.71,1.83,44.55,7.97,97.66,0.6999,1
446.52,2.87,1.02,0.35,41.18,10.36,0.92,51.93,2.83,90.77,0.3075,0
419.03,1.88,1.04,0.05,41.65,76.4,0.76,46.25,5.91,95.21,0.1937,0
381.5,2.69,2.98,0.99,46.5,27.52,1.91,51.34,6.0,95.69,0.3321,0
431.14,0.47,0.0,2.01,28.34,9.73,0.44,54.27,4.64,98.48,0.2334,0
324.1,1.22,0.99,2.97,33.8,37.05,0.56,34.16,1.01,89.22,0.5052,1
204.9,1.61,0.96,1.15,42.79,51.0,0.88,64.0,3.12,94.05,0.53,1
153.35,2.69,0.06,1.84,28.71,19.63,0.28,53.35,0.55,95.75,0.67,1
475.08,5.03,1.9,0.46,34.09,13.25,0.68,55.99,9.98,95.7,0.2146,0
181.28,1.97,1.94,0.07,34.42,0.73,0.49,63.34,3.32,93.23,0.6149,1
234.52,1.68,5.05,1.17,36.54,36.09,0.37,54.3,5.84,86.4,0.5617,1
201.95,1.87,1.04,0.18,48.49,6.29,1.11,51.78,3.77,99.99,0.522,1
477.2,0.1,2.09,0.37,31.78,0.17,1.36,53.14,5.75,97.6,0.1351,0
153.92,0.36,0.0,1.06,47.31,10.14,0.17,39.7,8.21,94.38,0.4547,0
126.26,3.93,0.0,2.97,56.59,0.96,0.09,72.24,0.5,92.89,0.7921,1
270.9,0.53,0.0,0.37,25.01,72.5,1.45,32.89,2.05,95.99,0.3834,0
457.14,5.3,3.94,0.7,17.75,6.97,0.42,62.75,1.88,90.96,0.4973,1
447.8,1.72,1.05,0.7,27.54,40.46,0.33,49.74,1.95,94.32,0.2802,0
137.71,0.1,0.93,0.5,52.57,6.51,0.5,43.07,2.07,92.48,0.4828,1
284.1,2.26,2.01,1.0,49.24,23.16,0.29,60.94,3.62,92.54,0.3182,0
128.7,3.01,2.93,1.38,28.95,8.97,0.74,48.19,2.47,89.13,0.8226,1
454.8,1.68,2.98,1.3,31.48,16.56,0.29,53.47,3.59,92.72,0.2619,0
220.19,1.88,0.94,0.36,39.18,1.03,1.13,43.51,1.53,91.29,0.519,0
366.3,0.55,3.98,1.0,25.21,8.09,0.4,53.92,1.27,94.3,0.3361,0
280.29,1.12,2.02,0.94,32.72,32.01,2.07,33.97,2.4,93.63,0.4318,0
335.68,2.29,1.05,1.98,39.93,59.46,0.38,69.06,5.95,94.81,0.443,0
470.3,1.74,0.96,3.55,34.14,45.6,0.71,25.36,1.13,94.84,0.2649,0
144.72,4.41,0.0,2.9,33.83,24.55,0.7,38.47,3.02,83.4,0.8898,1
201.29,0.4,1.04,1.07,32.65,14.26,0.82,63.78,6.57,96.46,0.5686,1
346.76,1.46,0.88,0.33,27.03,6.04,0.42,37.6,1.26,92.34,0.3301,0
236.57,1.9,0.0,0.58,28.64,18.65,0.5,55.24,2.17,91.3,0.5772,1
164.89,3.07,1.02,2.63,24.1,19.82,0.43,21.61,3.96,90.06,0.6846,1
444.02,3.59,0.96,1.04,35.16,10.9,0.22,15.0,1.48,95.46,0.1854,0
230.81,3.12,0.01,1.35,36.88,21.92,0.63,53.77,2.84,93.4,0.5387,1
302.62,4.85,1.02,0.12,41.38,76.1,0.86,28.94,2.18,95.52,0.4634,1
127.26,1.64,0.02,1.5,40.7,44.18,0.11,36.82,5.22,89.61,0.5526,1
53.95,1.82,0.04,0.8,37.26,4.46,0.63,28.8,3.07,96.61,0.6236,1
233.95,2.62,2.02,0.06,44.01,30.16,1.74,46.21,4.39,88.05,0.5368,1
96.56,0.75,1.05,0.78,23.18,19.91,1.85,37.96,5.12,96.74,0.7376,1
286.27,0.45,0.02,1.85,35.21,39.58,0.21,15.58,2.02,99.86,0.3028,0
256.94,2.07,0.0,0.94,41.35,54.49,0.85,66.96,3.42,91.03,0.5867,1
235.19,0.84,3.14,0.55,35.5,4.36,0.57,29.16,1.19,90.33,0.4435,0
391.09,6.1,2.08,0.47,34.97,5.17,0.88,55.74,4.21,89.77,0.5368,1
58.0,2.11,1.06,0.88,32.35,8.59,0.46,55.95,7.87,94.19,0.8252,1
325.79,1.14,0.0,0.75,30.02,5.59,1.17,56.45,5.5,94.9,0.4278,0
343.01,2.48,1.02,0.34,46.73,14.55,0.79,64.04,4.76,94.78,0.3191,0
374.93,0.95,4.92,2.8,42.29,20.12,1.15,40.04,2.84,90.32,0.4157,0
308.11,5.0,0.0,1.48,27.69,3.48,0.99,43.95,1.53,92.8,0.5443,1
498.59,5.68,2.92,1.54,36.91,157.63,0.03,42.0,9.93,95.39,0.2484,0
324.52,0.11,0.05,0.74,35.97,4.23,0.38,34.11,0.81,88.91,0.2871,0
276.06,1.2,2.01,2.38,49.22,2.94,3.97,41.93,2.61,95.58,0.5615,1
209.22,5.05,0.06,0.27,18.65,28.25,0.97,31.55,3.01,95.74,0.6183,1
114.53,1.22,1.94,0.32,33.83,84.35,0.61,53.26,0.5,94.54,0.5831,1
393.52,2.53,1.04,3.06,42.21,2.65,0.65,15.0,3.68,99.92,0.2482,0
439.96,3.6,0.0,0.63,45.77,62.31,0.32,73.75,0.72,93.82,0.2894,0
260.07,0.29,0.91,0.01,53.62,8.11,2.1,73.26,4.23,93.44,0.384,0
473.94,0.34,2.03,0.29,27.98,85.99,1.11,45.08,1.12,95.24,0.1308,0
362.39,0.89,1.05,3.45,27.62,26.75,0.41,48.09,2.45,91.18,0.3529,0
374.53,1.79,1.08,0.38,56.57,28.59,0.16,33.93,0.5,87.48,0.1972,0
321.57,3.8,1.04,0.87,48.89,13.46,0.97,36.49,0.5,91.91,0.4618,1
444.24,1.75,2.05,1.63,29.7,6.08,0.79,47.74,4.39,97.72,0.2625,0
446.66,1.02,1.07,1.29,45.95,17.72,1.44,64.79,6.9,88.65,0.2673,0
461.22,1.78,1.01,0.37,21.33,7.87,1.46,61.44,0.5,95.66,0.2378,0
68.53,1.23,1.07,1.26,39.04,4.87,0.96,77.28,1.55,99.41,0.7554,1
410.35,1.31,2.04,0.6,28.75,29.35,0.6,25.59,0.96,99.99,0.2119,0
496.04,1.01,0.95,1.18,43.39,19.19,0.84,30.85,0.61,90.43,0.0936,0
106.88,0.1,0.0,2.4,18.62,8.82,2.36,68.52,2.08,95.49,0.9193,1
114.36,0.94,2.0,0.63,18.99,2.66,5.0,25.41,1.15,99.99,0.8214,1
80.07,1.49,2.07,0.5,33.02,4.12,0.13,52.38,2.91,92.05,0.6946,1
203.24,1.59,2.99,1.79,33.32,14.34,0.12,30.69,3.18,96.5,0.5553,0
408.34,0.54,2.04,1.81,42.31,14.16,0.35,15.0,2.1,95.65,0.1146,0
304.92,2.49,1.05,1.23,39.25,35.11,0.04,68.09,10.66,83.25,0.5289,1
383.53,4.54,0.0,0.24,28.69,56.5,1.79,56.03,1.83,96.66,0.4559,0
165.76,2.22,2.01,0.92,34.21,13.84,0.17,42.94,3.66,95.9,0.5898,1
324.31,0.22,0.98,0.27,39.68,7.34,1.18,47.1,2.74,92.63,0.3289,0
472.75,1.29,2.07,0.28,33.6,18.17,0.25,52.21,7.61,93.9,0.1465,0
382.85,2.06,0.01,0.74,30.95,59.22,0.65,41.86,1.59,96.92,0.3081,0
214.08,2.05,0.1,0.77,20.22,0.68,0.13,46.62,3.55,89.32,0.5449,1
206.92,3.24,1.06,0.4,32.78,41.25,0.17,24.52,2.97,88.46,0.5681,1
110.09,2.73,1.0,1.3,33.77,47.02,1.9,52.0,4.42,92.32,0.7284,1
429.56,1.45,3.03,0.02,23.89,15.24,0.15,49.41,1.89,92.81,0.1518,0
242.43,2.97,0.98,1.54,33.41,105.98,1.41,26.55,4.25,92.85,0.5408,1
401.66,4.54,1.08,2.29,40.29,25.78,0.29,55.91,0.84,95.39,0.415,1
135.38,0.57,1.02,0.7,43.83,6.42,0.56,25.04,1.25,95.87,0.4502,0
51.7,1.91,1.94,0.58,11.36,39.1,1.6,66.54,1.99,93.32,0.9756,1
446.12,2.18,1.97,0.81,40.28,46.47,0.57,54.5,3.41,96.51,0.2701,0
446.21,0.74,0.0,0.47,30.78,4.19,1.52,75.6,3.31,91.96,0.1803,0
311.96,1.09,2.03,0.97,17.13,113.62,0.45,43.0,1.65,93.59,0.3748,0
95.06,7.99,0.0,0.05,47.83,10.04,0.38,60.79,3.14,92.39,0.7905,1
280.51,0.83,2.97,0.15,21.12,5.76,0.9,54.41,1.82,86.06,0.5128,0
269.87,0.41,0.08,0.28,29.98,43.76,1.59,50.9,3.62,95.53,0.451,0
270.76,0.93,1.06,0.69,19.98,27.42,1.22,59.46,3.88,89.67,0.587,1
389.73,1.9,0.0,1.43,35.96,6.14,2.84,46.48,0.99,91.76,0.3595,0
465.35,0.55,1.93,0.25,40.6,28.56,0.11,70.29,2.1,94.5,0.0827,0
199.87,1.7,1.94,1.17,51.95,4.13,0.35,24.89,1.61,95.82,0.4669,1
327.39,0.23,0.06,0.39,32.06,122.52,0.99,30.94,1.47,90.73,0.3049,0
498.38,1.2,4.91,1.21,31.57,7.59,0.95,41.98,4.99,96.24,0.1485,0
403.02,0.48,0.94,2.63,20.07,22.12,0.28,65.48,0.74,93.66,0.3729,0
440.05,0.27,0.01,0.16,41.22,3.32,0.16,33.8,2.16,91.41,0.1257,0
475.93,2.48,1.09,0.63,35.61,24.39,0.39,35.8,4.8,98.41,0.0804,0
246.19,1.11,0.0,1.32,27.84,35.28,0.32,51.19,6.31,94.69,0.5002,0
93.15,2.85,3.04,0.42,29.1,52.41,0.03,29.87,3.37,99.96,0.6311,0
387.65,0.89,2.07,1.06,32.46,67.94,0.28,63.86,5.76,98.82,0.303,0
411.72,2.52,3.06,0.48,27.39,79.36,0.77,48.12,4.65,91.34,0.3337,0
201.96,2.66,1.99,1.33,22.16,23.81,0.62,39.2,2.19,84.75,0.6935,1
121.99,1.05,1.94,0.47,22.12,8.04,0.35,75.34,2.49,87.52,0.702,1
439.2,1.12,0.09,0.58,45.78,10.65,0.07,46.67,3.57,94.04,0.0822,0
181.46,4.45,0.0,2.56,28.99,32.01,0.67,41.21,1.27,94.62,0.6899,1
118.51,1.4,2.03,1.45,32.29,43.87,0.87,52.09,8.7,92.25,0.7587,1
100.0,0.55,2.03,0.27,34.49,24.35,0.1,38.64,3.74,94.28,0.5685,1
141.79,0.16,0.92,0.78,47.59,57.61,1.14,33.19,5.78,88.11,0.5351,1
370.1,2.11,3.04,0.9,34.98,35.6,1.62,33.31,2.07,95.1,0.3785,0
470.22,2.97,0.0,1.07,42.64,15.51,2.01,29.51,13.88,94.54,0.2047,0
68.11,5.65,0.0,2.44,49.55,4.79,0.1,49.24,0.9,89.36,0.909,1
197.92,3.98,0.97,0.51,32.43,33.55,0.97,75.3,0.91,94.84,0.6518,1
442.67,2.54,3.08,0.28,37.56,6.19,1.03,34.12,4.08,91.58,0.1975,0
245.51,0.92,2.07,0.43,30.13,7.19,0.7,46.02,1.84,92.66,0.4776,1
370.73,0.68,0.99,1.15,33.78,92.74,1.32,50.18,1.16,93.63,0.297,0
270.42,0.52,0.07,0.85,47.07,15.32,0.55,33.5,3.58,89.19,0.3803,0
188.59,0.38,1.04,0.8,35.94,8.75,1.05,46.59,8.64,94.43,0.5555,1
369.27,4.12,1.02,0.2,30.25,29.41,0.5,39.77,7.51,93.92,0.3847,0
321.24,2.95,0.07,1.6,36.23,10.63,0.77,27.64,7.3,92.11,0.4414,0
253.28,2.54,2.02,0.94,22.94,4.8,0.62,52.04,1.02,93.61,0.6145,1
231.48,1.18,2.06,0.42,25.58,62.72,0.85,50.48,2.74,92.87,0.5676,1
255.52,1.08,0.04,0.67,32.35,2.35,0.49,37.89,0.5,88.91,0.3578,0
324.73,2.0,0.0,0.36,41.13,27.26,0.14,34.74,4.21,95.48,0.3073,0
300.29,1.15,3.0,0.57,48.07,69.8,0.51,31.68,1.23,97.14,0.3227,0
474.0,0.1,1.89,0.22,29.78,117.81,0.53,72.66,2.62,98.72,0.1168,0
386.66,1.4,1.93,0.96,32.0,6.52,0.49,49.54,3.79,95.02,0.3238,0
439.02,0.49,3.05,0.31,48.22,14.44,0.66,44.28,0.77,98.46,0.1565,0
135.53,0.99,0.0,0.55,45.24,3.93,0.1,56.94,1.45,91.98,0.5621,1
62.55,3.39,1.99,0.21,43.1,31.14,0.7,46.55,4.38,97.38,0.717,1
94.55,0.79,1.11,0.63,36.36,118.83,1.53,44.17,2.57,95.72,0.7068,1
429.22,0.94,0.0,0.23,55.35,34.56,2.36,64.13,5.06,92.3,0.2626,0
209.04,6.66,0.11,0.28,25.3,25.03,1.63,29.48,7.1,95.79,0.7195,1
265.07,4.27,2.0,1.46,11.05,15.36,0.3,28.38,0.5,89.39,0.6012,1
278.25,0.68,2.95,0.49,23.15,4.59,0.01,39.78,2.28,95.51,0.3538,0
128.77,1.49,2.03,0.61,36.84,16.32,0.32,36.09,1.71,96.63,0.5286,1
351.18,3.66,0.0,1.2,34.91,6.69,0.55,78.15,1.51,97.05,0.5079,1
192.0,0.56,0.07,4.52,23.8,1.79,0.69,39.51,3.78,92.49,0.7693,1
349.38,0.18,0.98,0.04,41.61,15.91,1.17,45.02,9.24,92.02,0.2547,0
161.07,3.19,0.0,1.53,41.5,48.93,0.22,15.0,5.26,90.75,0.5929,1
461.06,3.36,0.05,0.14,45.41,18.09,0.14,39.75,1.96,87.09,0.2586,0
165.76,1.32,2.08,1.58,33.66,32.49,1.79,40.27,3.32,99.95,0.6572,1
218.76,1.65,2.02,2.02,20.75,6.13,1.26,27.28,4.38,96.43,0.6202,1
230.78,0.36,1.96,0.82,18.28,14.86,1.54,32.96,2.18,97.28,0.384,0
149.22,0.36,0.93,1.59,15.38,40.34,0.21,49.76,4.48,95.8,0.7122,1
354.78,0.32,1.12,0.12,40.94,17.18,1.26,56.07,3.82,91.78,0.2947,0
247.25,0.45,0.99,2.13,24.98,26.7,0.63,71.58,3.42,92.23,0.5239,1
470.14,0.18,2.94,2.5,40.5,0.27,1.57,35.74,1.93,90.14,0.23,0
224.6,0.59,1.03,1.13,14.72,29.96,0.51,56.08,4.13,92.89,0.5818,1
180.69,0.22,0.0,0.76,37.11,8.5,0.29,71.45,2.76,90.74,0.5887,1
176.05,0.63,2.0,0.95,47.1,14.62,0.52,44.93,1.96,96.37,0.4456,0
347.1,1.72,0.0,1.4,51.76,10.53,1.77,34.08,4.13,90.95,0.3797,0
100.37,2.63,4.0,1.97,35.3,16.95,0.59,64.26,0.5,91.07,0.9112,1
123.64,3.8,1.07,1.56,28.23,83.32,0.29,59.81,4.08,92.33,0.7889,1
185.7,4.38,1.02,0.56,21.2,14.02,0.57,67.33,2.61,95.18,0.7198,1
181.17,1.13,1.01,0.59,35.11,28.26,5.0,48.43,2.2,95.14,0.6681,1
60.6,0.55,0.0,0.26,30.86,58.98,1.22,30.52,5.27,90.26,0.6169,1
103.58,5.71,1.08,0.19,37.24,26.37,0.79,57.8,2.03,97.9,0.8282,0
367.88,0.75,0.0,1.44,35.6,17.31,1.97,44.25,3.59,86.69,0.4677,1
157.45,2.34,1.03,1.19,48.31,3.88,0.73,56.77,3.0,98.53,0.5047,1
220.4,0.49,0.99,1.79,35.22,71.68,0.51,34.08,2.43,87.7,0.5076,1
130.89,0.52,0.07,0.38,39.4,11.06,0.75,45.2,4.89,96.42,0.5618,1
168.84,4.95,2.0,1.76,20.8,33.78,1.06,30.56,1.67,95.78,0.7736,1
326.29,1.33,0.98,1.29,15.48,18.45,2.53,61.79,4.57,92.59,0.6264,1
111.05,5.9,2.04,0.64,41.39,3.01,2.43,27.94,3.39,91.16,0.9046,1
397.61,2.02,0.99,0.58,29.34,24.83,0.43,34.04,6.14,88.33,0.2984,0
99.53,4.39,0.01,3.71,40.99,58.84,0.47,24.13,1.32,92.53,0.9145,1
348.32,2.96,0.0,0.2,30.13,0.24,0.58,51.03,1.71,92.29,0.3649,0
365.09,0.18,0.01,2.23,14.84,11.17,1.52,20.09,1.47,88.22,0.4441,0
281.17,1.73,0.0,0.02,31.19,4.99,1.01,50.15,2.13,98.38,0.4445,0
176.47,1.33,0.12,0.23,28.23,18.7,0.92,57.02,4.35,99.99,0.597,1
